sku,title,cost,stock,shipping_cost,shipping_days,weight_g,category,image_url,product_url
SKU-001,ワイヤレスイヤホン Bluetooth5.3 ノイズキャンセリング対応,1450,120,300,7,180,家電・オーディオ,,
SKU-002,折りたたみスマホスタンド アルミ合金 角度調整可,480,300,200,5,150,スマホアクセサリ,,
SKU-003,LEDリングライト 10インチ 三脚スタンド付き,1980,45,450,10,900,撮影機材,,
SKU-004,ステンレスタンブラー 真空断熱 500ml,890,200,350,6,320,キッチン用品,,
SKU-005,ペット用自動給水器 2.5L 静音ポンプ,2350,30,500,12,850,ペット用品,,
SKU-006,ヨガマット 10mm 滑り止め付き 収納バンド付,1250,80,600,8,1100,スポーツ,,
SKU-007,USB-C ハブ 7in1 4K HDMI対応,1850,60,250,7,120,PCアクセサリ,,
SKU-008,アロマディフューザー 超音波式 300ml 木目調,1650,25,400,9,540,インテリア,,
SKU-009,キャンプ用LEDランタン 充電式 モバイルバッテリー機能付,1550,90,380,8,420,アウトドア,,
SKU-010,姿勢矯正サポーター 通気メッシュ素材,720,150,280,6,240,健康グッズ,,
SKU-011,高級腕時計ムーブメント部品セット,9800,10,800,25,300,部品,,
SKU-012,ミニ加湿器 USB給電 卓上用,680,2,250,5,310,家電,,
